Kebangsaan,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
A. TOTAL ASIA PASIFIK,7475049,6943413,6376166,6050406,5527342,4917083,4888203,4348811,3813875,3642989,4243896,3540189,3789041,3874435,3803538
B. TOTAL AMERIKA,361220,343573,312525,293306,255465,237670,249968,220730,196038,283082,224856,191271,244133,262663,275584
C. TOTAL EROPA,1337553,1285097,1174079,1110871,1048543,1028405,989854,843699,782060,955917,789838,681407,934140,954211,920384
D. LAINNYA (TIMUR TENGAH & AFRIKA),261589,230046,181692,195148,171594,140572,106472,92519,79378,120113,62575,54154,66086,62311,64711
JUMLAH,9435411,8802129,8044462,7649731,7002944,6323730,6234497,5505759,4871351,5002101,5321165,4467021,5033400,5153620,5064217
